date,user,text
Mon May 11 03:17:40 UTC 2009,tpryan,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
Mon May 11 03:18:03 UTC 2009,vcu451,Reading my kindle2...  Love it... Lee childs is good read.
Mon May 11 03:18:54 UTC 2009,chadfu,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
Mon May 11 03:19:04 UTC 2009,SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
Mon May 11 03:21:41 UTC 2009,yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
Mon May 11 03:22:00 UTC 2009,GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
Mon May 11 03:22:30 UTC 2009,Seth937,Fuck this economy. I hate aig and their non loan given asses.
Mon May 11 03:26:10 UTC 2009,dcostalis,Jquery is my new best friend.
Mon May 11 03:27:15 UTC 2009,PJ_King,Loves twitter
Mon May 11 03:29:20 UTC 2009,mandanicole,how can you not love Obama? he makes jokes about himself.
Mon May 11 03:32:42 UTC 2009,jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
Mon May 11 03:32:48 UTC 2009,kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
Mon May 11 03:33:38 UTC 2009,theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
Mon May 11 05:05:58 UTC 2009,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
Mon May 11 05:06:22 UTC 2009,vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
Mon May 11 05:20:15 UTC 2009,cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
Mon May 11 05:20:28 UTC 2009,luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
Mon May 11 05:21:04 UTC 2009,mtgillikin,i love lebron. http://bit.ly/PdHur
Mon May 11 05:21:37 UTC 2009,ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
Mon May 11 05:21:45 UTC 2009,Native_01,@Pmillzz lebron IS THE BOSS
Mon May 11 05:22:03 UTC 2009,princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
Mon May 11 05:22:12 UTC 2009,peterlikewhat,lebron and zydrunas are such an awesome duo
Mon May 11 05:22:37 UTC 2009,emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
Mon May 11 06:02:24 UTC 2009,CocoSavanna,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
Mon May 11 19:47:29 UTC 2009,DreambigRadio,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"
Mon May 11 19:49:21 UTC 2009,andrewwatson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
Mon May 11 19:50:07 UTC 2009,fredwilson,In montreal for a long weekend of R&amp;R. Much needed.
Thu May 14 02:58:07 UTC 2009,JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
Thu May 14 02:58:23 UTC 2009,scottabel,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
Thu May 14 05:24:50 UTC 2009,JustMe_D,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
Thu May 14 05:25:04 UTC 2009,hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
Sat May 16 16:18:36 UTC 2009,Annimallover,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
Sat May 16 16:19:04 UTC 2009,J_Holl,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
Sat May 16 16:19:24 UTC 2009,vamsmack,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
Sat May 16 16:25:41 UTC 2009,schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
Sat May 16 22:42:07 UTC 2009,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
Sat May 16 22:42:25 UTC 2009,robloposky,I'm itchy and miserable!
Sat May 16 22:42:44 UTC 2009,EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
Sat May 16 23:48:15 UTC 2009,imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
Sat May 16 23:58:34 UTC 2009,drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
Sun May 17 15:05:03 UTC 2009,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
Sun May 17 17:27:45 UTC 2009,babblyabbie,is going to sleep then on a bike ride:]
Sun May 17 17:27:49 UTC 2009,kisjoaquin,cant sleep... my tooth is aching.
Sun May 17 17:28:02 UTC 2009,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
Sun May 17 17:29:50 UTC 2009,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
Sun May 17 17:30:19 UTC 2009,sulu34,is in San Francisco at Bay to Breakers.
Sun May 17 17:30:23 UTC 2009,schuyler,just landed at San Francisco
Sun May 17 17:30:56 UTC 2009,MattBragoni,San Francisco today.  Any suggestions?
Sun May 17 17:32:00 UTC 2009,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
Sun May 17 17:32:30 UTC 2009,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
